family_id,category,label,vllm_scope,kernel_name,count,vllm_kernel_ms,frontier_parent,mapping_status,child_frontier_ms,child_gap_pct,duration_family,shape_contract,source
K10,computation_memory,KV cache write,attn_kv_cache_save,"void vllm::reshape_and_cache_flash_kernel<__nv_bfloat16, __nv_bfloat16, (vllm::Fp8KVCacheDataType)0>(__nv_bfloat16 const*, __nv_bfloat16 const*, __nv_bfloat16*, __nv_bfloat16*, long const*, long, long, long, long, long, int, int, int, float const*, float const*)",48,0.367809,attn_kv_cache_save,1:1 logical operation; timing-family mismatch,missing,missing,K: CUPTI device activity; kernels run batch4734 DP0TP0,A,kernels/first_batch_kernel_families.json
K11,computation_memory,FlashInfer block-to-vector indices,attn_prefill,"void flashinfer::BlockSparseIndicesToVectorSparseOffsetsKernel<int>(int*, int*, int*, int*, int*, unsigned int, unsigned int, unsigned int, flashinfer::uint_fastdiv)",48,0.25824600000000003,attn_prefill,parent-only; child prediction missing,missing,missing,K: CUPTI device activity; kernels run batch4734 DP0TP0,A,kernels/first_batch_kernel_families.json
K12,computation_memory,FlashInfer paged prefill,attn_prefill,"void flashinfer::PrefillWithKVCacheKernel<flashinfer::SparseCollectiveMainloop<PagedParams::AdditionalParams, flashinfer::AttentionKernelTraits<false, 128, 128, 128, 96, 2, cutlass::bfloat16_t, cutlass::bfloat16_t, cutlass::bfloat16_t, int, flashinfer::StandardAttention>, true, false>, flashinfer::CollectiveEpilogue<flashinfer::AttentionKernelTraits<false, 128, 128, 128, 96, 2, cutlass::bfloat16_t, cutlass::bfloat16_t, cutlass::bfloat16_t, int, flashinfer::StandardAttention> >, flashinfer::AttentionKernelTraits<false, 128, 128, 128, 96, 2, cutlass::bfloat16_t, cutlass::bfloat16_t, cutlass::bfloat16_t, int, flashinfer::StandardAttention>, false, true, flashinfer::BatchPrefillPersistentTileScheduler<int>, false>(flashinfer::SparseCollectiveMainloop<PagedParams::AdditionalParams, flashinfer::AttentionKernelTraits<false, 128, 128, 128, 96, 2, cutlass::bfloat16_t, cutlass::bfloat16_t, cutlass::bfloat16_t, int, flashinfer::StandardAttention>, true, false>::Params, flashinfer::CollectiveEpilogue<flashinfer::AttentionKernelTraits<false, 128, 128, 128, 96, 2, cutlass::bfloat16_t, cutlass::bfloat16_t, cutlass::bfloat16_t, int, flashinfer::StandardAttention> >::Params, flashinfer::BatchPrefillPersistentTileScheduler<int>::Params)",48,4.819984000000002,attn_prefill,parent-only; child prediction missing,missing,missing,K: CUPTI device activity; kernels run batch4734 DP0TP0,A,kernels/first_batch_kernel_families.json
K13,computation_memory,FlashInfer output multiply,attn_prefill,"void at::native::vectorized_elementwise_kernel<8, at::native::AUnaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul> >(int, at::native::AUnaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul>)",48,0.20362300000000003,attn_prefill,parent-only; child prediction missing,missing,missing,K: CUPTI device activity; kernels run batch4734 DP0TP0,A,kernels/first_batch_kernel_families.json
K14,computation_memory,Attention output GEMM,attn_post_proj,nvjet_tst_256x128_64x4_1x2_h_bz_coopA_TNT,48,1.227588,attn_post_proj,1:1 logical operation; timing-family mismatch,missing,missing,K: CUPTI device activity; kernels run batch4734 DP0TP0,A,kernels/first_batch_kernel_families.json
K15,communication,Attention TP AR,attn_post_proj,ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKernelArgsStorage<4096ul>),48,29.569227000000005,attn_tp_allreduce,communication or communication staging; separate table,missing,missing,K: CUPTI device activity; kernels run batch4734 DP0TP0,A,kernels/first_batch_kernel_families.json
K16,computation_memory,Post-attention fused add+RMSNorm,post_attention_layernorm,"std::enable_if<(((8)>(0)))&&vllm::_typeConvert<c10::BFloat16>::exists, void>::type vllm::fused_add_rms_norm_kernel<c10::BFloat16, 8>(c10::BFloat16*, long, c10::BFloat16*, c10::BFloat16 const*, float, int, int)",48,0.778755,post_attention_layernorm,1:1 logical operation; timing-family mismatch,missing,missing,K: CUPTI device activity; kernels run batch4734 DP0TP0,A,kernels/first_batch_kernel_families.json
K17,computation_memory,Router GEMM,moe_gating,nvjet_tst_64x64_64x13_2x1_v_bz_TNT,48,0.336101,moe_gating_linear,1:1 logical operation; timing-family mismatch,missing,missing,K: CUPTI device activity; kernels run batch4734 DP0TP0,M,kernels/first_batch_kernel_families.json
K18,communication,Dispatch local DtoD staging,expert_parallel_alltoall_dispatch,Memcpy DtoD (Device -> Device),96,0.42472999999999994,EP dispatch,communication or communication staging; separate table,missing,missing,K: CUPTI device activity; kernels run batch4734 DP0TP0,M,kernels/first_batch_kernel_families.json
K19,communication,DP broadcasts,expert_parallel_alltoall_dispatch,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<4096ul>),192,4.988146000000001,EP dispatch,communication or communication staging; separate table,missing,missing,K: CUPTI device activity; kernels run batch4734 DP0TP0,M,kernels/first_batch_kernel_families.json
K20,computation_memory,Uniform route weights fill,moe_gating,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<float>, std::array<char*, 1ul> >(int, at::native::FillFunctor<float>, std::array<char*, 1ul>)",48,0.05900699999999999,moe_gating_routing_topk,parent-only; child prediction missing,missing,missing,K: CUPTI device activity; kernels run batch4734 DP0TP0,M,kernels/first_batch_kernel_families.json
K21,computation_memory,Uniform route arange,moe_gating,"void (anonymous namespace)::elementwise_kernel_with_index<int, at::native::arange_cuda_out(c10::Scalar const&, c10::Scalar const&, c10::Scalar const&, at::Tensor&)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}>(int, at::native::arange_cuda_out(c10::Scalar const&, c10::Scalar const&, c10::Scalar const&, at::Tensor&)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}, function_traits<at::native::arange_cuda_out(c10::Scalar const&, c10::Scalar const&, c10::Scalar const&, at::Tensor&)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}>::result_type*)",48,0.05785299999999999,moe_gating_routing_topk,parent-only; child prediction missing,missing,missing,K: CUPTI device activity; kernels run batch4734 DP0TP0,M,kernels/first_batch_kernel_families.json
K22,computation_memory,Uniform route multiply,moe_gating,"void at::native::vectorized_elementwise_kernel<2, at::native::AUnaryFunctor<long, long, long, at::native::binary_internal::MulFunctor<long> >, std::array<char*, 2ul> >(int, at::native::AUnaryFunctor<long, long, long, at::native::binary_internal::MulFunctor<long> >, std::array<char*, 2ul>)",384,0.4950719999999999,moe_gating_routing_topk,parent-only; child prediction missing,missing,missing,K: CUPTI device activity; kernels run batch4734 DP0TP0,M,kernels/first_batch_kernel_families.json
K23,computation_memory,Uniform route add,moe_gating,"void at::native::vectorized_elementwise_kernel<2, at::native::CUDAFunctorOnSelf_add<long>, std::array<char*, 2ul> >(int, at::native::CUDAFunctorOnSelf_add<long>, std::array<char*, 2ul>)",384,0.49401999999999996,moe_gating_routing_topk,parent-only; child prediction missing,missing,missing,K: CUPTI device activity; kernels run batch4734 DP0TP0,M,kernels/first_batch_kernel_families.json
K24,computation_memory,Uniform route remainder,moe_gating,"void at::native::vectorized_elementwise_kernel<2, at::native::BUnaryFunctor<long, long, long, at::native::remainder_kernel_cuda(at::TensorIteratorBase&)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(long, long)#1}>, std::array<char*, 2ul> >(int, at::native::BUnaryFunctor<long, long, long, at::native::remainder_kernel_cuda(at::TensorIteratorBase&)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(long, long)#1}>, std::array<char*, 2ul>)",384,0.7668240000000003,moe_gating_routing_topk,parent-only; child prediction missing,missing,missing,K: CUPTI device activity; kernels run batch4734 DP0TP0,M,kernels/first_batch_kernel_families.json
K25,computation_memory,Uniform route index copies,moe_gating,"void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#3}::operator()() const::{lambda(int)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#3}::operator()() const::{lambda(int)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#3}::operator()() const::{lambda(int)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#3}::operator()() const::{lambda(int)#1} const&)::{lambda(int)#1})",384,1.0263149999999994,moe_gating_routing_topk,parent-only; child prediction missing,missing,missing,K: CUPTI device activity; kernels run batch4734 DP0TP0,M,kernels/first_batch_kernel_families.json
K26,computation_memory,Uniform route DtoD,moe_gating,Memcpy DtoD (Device -> Device),48,0.064639,moe_gating_routing_topk,parent-only; child prediction missing,missing,missing,K: CUPTI device activity; kernels run batch4734 DP0TP0,M,kernels/first_batch_kernel_families.json
K27,computation_memory,MoE block alignment,moe_shuffling,"void vllm::moe::moe_align_block_size_kernel<int>(int const*, int*, int*, int*, int, int, int, int, unsigned long, int*, int)",48,0.5417009999999998,moe_shuffling,parent-only; child prediction missing,missing,missing,K: CUPTI device activity; kernels run batch4734 DP0TP0,M,kernels/first_batch_kernel_families.json
K28,computation_memory,MoE expert count/sort,moe_shuffling,"void vllm::moe::count_and_sort_expert_tokens_kernel<int>(int const*, int*, int*, unsigned long)",48,0.144835,moe_shuffling,parent-only; child prediction missing,missing,missing,K: CUPTI device activity; kernels run batch4734 DP0TP0,M,kernels/first_batch_kernel_families.json
K29,computation_memory,MoE metadata copy,moe_shuffling,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}, std::array<char*, 2ul>, 4, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1> >(int, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}, std::array<char*, 2ul>, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1>)",48,0.11203099999999999,moe_shuffling,parent-only; child prediction missing,missing,missing,K: CUPTI device activity; kernels run batch4734 DP0TP0,M,kernels/first_batch_kernel_families.json
K30,computation_memory,MoE expert-map indexing,moe_shuffling,"void at::native::index_elementwise_kernel<128, 4, at::native::gpu_index_kernel<at::native::index_kernel_impl<at::native::OpaqueType<4> >(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1}>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>, at::native::index_kernel_impl<at::native::OpaqueType<4> >(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1} const&, bool)::{lambda(int)#1}>(long, at::native::gpu_index_kernel<at::native::index_kernel_impl<at::native::OpaqueType<4> >(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1}>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>, at::native::index_kernel_impl<at::native::OpaqueType<4> >(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1} const&, bool)::{lambda(int)#1})",48,0.23977999999999994,moe_shuffling,parent-only; child prediction missing,missing,missing,K: CUPTI device activity; kernels run batch4734 DP0TP0,M,kernels/first_batch_kernel_families.json
K31,computation_memory,MoE W1+W2 GEMM,moe_grouped_gemm,fused_moe_kernel,96,10.270075000000002,moe_grouped_gemm,partial 1:many; Frontier W1+contiguous-copy+W2 versus runtime W1+SiLU+W2,missing,missing,K: CUPTI device activity; kernels run batch4734 DP0TP0,M,kernels/first_batch_kernel_families.json
K32,computation_memory,Gated SiLU,moe_grouped_gemm,"void vllm::act_and_mul_kernel<c10::BFloat16, &(c10::BFloat16 vllm::silu_kernel<c10::BFloat16>(c10::BFloat16 const&)), true>(c10::BFloat16*, c10::BFloat16 const*, int)",48,7.067903,moe_grouped_gemm,missing activation implementation in current Frontier profile,missing,missing,K: CUPTI device activity; kernels run batch4734 DP0TP0,M,kernels/first_batch_kernel_families.json
K33,computation_memory,MoE expert-result sum,unscoped,"void at::native::reduce_kernel<128, 4, at::native::ReduceOp<c10::BFloat16, at::native::func_wrapper_t<c10::BFloat16, at::native::sum_functor<c10::BFloat16, float, c10::BFloat16>::operator()(at::TensorIterator&)::{lambda(float, float)#1}>, unsigned int, c10::BFloat16, 4, 4> >(at::native::ReduceOp<c10::BFloat16, at::native::func_wrapper_t<c10::BFloat16, at::native::sum_functor<c10::BFloat16, float, c10::BFloat16>::operator()(at::TensorIterator&)::{lambda(float, float)#1}>, unsigned int, c10::BFloat16, 4, 4>)",48,2.709863000000001,missing,Frontier prediction missing,missing,missing,K: CUPTI device activity; kernels run batch4734 DP0TP0,M,kernels/first_batch_kernel_families.json
K34,communication,DP combine AR,expert_parallel_alltoall_combine,ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKernelArgsStorage<4096ul>),48,3.7353060000000005,EP combine,communication or communication staging; separate table,missing,missing,K: CUPTI device activity; kernels run batch4734 DP0TP0,M,kernels/first_batch_kernel_families.json
K35,communication,Post-combine TP AR,expert_parallel_allreduce,ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKernelArgsStorage<4096ul>),48,65.82374699999998,missing,communication or communication staging; separate table,missing,missing,K: CUPTI device activity; kernels run batch4734 DP0TP0,M,kernels/first_batch_kernel_families.json
K36,computation_memory,Later input fused add+RMSNorm,input_layernorm,"std::enable_if<(((8)>(0)))&&vllm::_typeConvert<c10::BFloat16>::exists, void>::type vllm::fused_add_rms_norm_kernel<c10::BFloat16, 8>(c10::BFloat16*, long, c10::BFloat16*, c10::BFloat16 const*, float, int, int)",47,0.7682580000000003,input_layernorm,parent-only; child prediction missing,missing,missing,K: CUPTI device activity; kernels run batch4734 DP0TP0,A,kernels/first_batch_kernel_families.json
K37,computation_memory,Final fused add+RMSNorm,unscoped,"std::enable_if<(((8)>(0)))&&vllm::_typeConvert<c10::BFloat16>::exists, void>::type vllm::fused_add_rms_norm_kernel<c10::BFloat16, 8>(c10::BFloat16*, long, c10::BFloat16*, c10::BFloat16 const*, float, int, int)",1,0.015968,missing,Frontier prediction missing,missing,missing,K: CUPTI device activity; kernels run batch4734 DP0TP0,A,kernels/first_batch_kernel_families.json
